"No.","Time","Source","Destination","Protocol","Length","Info"
"53","42.601512","157.240.195.56","10.100.102.210","TLSv1.3","1111","Application Data, Application Data"
"54","48.960506","10.100.102.210","157.240.195.56","TCP","1446","52286  >  443 [ACK] Seq=734 Ack=4289 Win=516 Len=1392 [TCP segment of a reassembled PDU]"
"55","48.960506","10.100.102.210","157.240.195.56","TLSv1.2","886","Application Data"
"56","49.151135","157.240.195.56","10.100.102.210","TLSv1.2","118","Application Data"
"57","69.936297","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"58","70.143779","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"59","98.943378","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"60","99.123268","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"61","101.222210","157.240.195.56","10.100.102.210","TLSv1.2","124","Application Data"
"62","107.523398","157.240.195.56","10.100.102.210","TLSv1.3","93","Application Data"
"63","122.940407","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"64","123.136211","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"65","132.915639","157.240.195.56","10.100.102.210","TLSv1.2","249","Application Data"
"66","132.980004","10.100.102.210","157.240.195.56","TLSv1.2","148","Application Data"
"67","134.077012","10.100.102.210","157.240.195.56","TLSv1.3","523","Client Hello"
"68","134.144496","157.240.195.56","10.100.102.210","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"69","134.146828","10.100.102.210","157.240.195.56","TLSv1.3","118","Change Cipher Spec, Application Data"
"70","134.152504","10.100.102.210","157.240.195.56","TLSv1.3","134","Application Data"
"71","134.153842","10.100.102.210","157.240.195.56","TLSv1.3","282","Application Data"
"72","134.246819","157.240.195.56","10.100.102.210","TLSv1.3","225","Application Data"
"73","134.246819","157.240.195.56","10.100.102.210","TLSv1.3","128","Application Data"
"74","134.246819","157.240.195.56","10.100.102.210","TLSv1.3","85","Application Data"
"75","134.246819","157.240.195.56","10.100.102.210","TLSv1.3","89","Application Data"
"76","134.249492","10.100.102.210","157.240.195.56","TLSv1.3","85","Application Data"
"77","134.349620","157.240.195.56","10.100.102.210","TLSv1.3","466","Application Data"
"78","134.350110","157.240.195.56","10.100.102.210","TCP","1446","443  >  53181 [ACK] Seq=936 Ack=873 Win=265 Len=1392 [TCP segment of a reassembled PDU]"
"79","134.350110","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"80","134.350110","157.240.195.56","10.100.102.210","TLSv1.3","947","Application Data, Application Data"
"81","141.945356","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"82","142.131813","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"83","147.968731","157.240.195.56","10.100.102.210","TLSv1.2","329","Application Data"
"84","148.060393","10.100.102.210","157.240.195.56","TLSv1.2","126","Application Data"
"85","152.321789","157.240.195.56","10.100.102.210","TLSv1.2","837","Application Data"
"86","152.459222","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"87","152.491571","10.100.102.210","157.240.195.56","TLSv1.2","129","Application Data"
"88","152.552599","10.100.102.210","157.240.195.56","TLSv1.3","201","Application Data"
"89","152.629798","157.240.195.56","10.100.102.210","TLSv1.3","89","Application Data"
"90","152.679773","157.240.195.56","10.100.102.210","TLSv1.2","1063","Application Data"
"91","152.987011","157.240.195.56","10.100.102.210","TLSv1.3","1320","Application Data"
"92","152.987444","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"93","152.987444","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"94","152.987444","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"95","152.987880","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"96","152.987880","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"97","152.987880","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"98","152.987880","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"99","152.987880","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"100","152.987880","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"101","152.987880","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"102","152.988746","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"103","152.989318","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"104","153.088613","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"105","153.088886","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"106","153.088886","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"107","153.088886","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"108","153.191472","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"109","153.191472","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"110","153.191472","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"111","153.293473","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"112","153.294165","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"113","153.294165","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"114","153.294165","157.240.195.56","10.100.102.210","TLSv1.3","1267","Continuation Data"
"115","154.419963","157.240.195.56","10.100.102.210","TLSv1.2","172","Application Data"
"116","154.426133","10.100.102.210","157.240.195.56","TLSv1.2","148","Application Data"
"117","156.621826","157.240.195.56","10.100.102.210","TLSv1.2","265","Application Data"
"118","156.703504","10.100.102.210","157.240.195.56","TLSv1.2","129","Application Data"
"119","159.795996","157.240.195.56","10.100.102.210","TLSv1.2","152","Application Data"
"120","159.800176","10.100.102.210","157.240.195.56","TLSv1.2","151","Application Data"
"121","181.939869","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"122","182.119916","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"123","185.719185","10.100.102.210","157.240.195.56","QUIC","1292","Initial, DCID=c5cdd6e0d514c8d9, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO"
"124","185.858421","157.240.195.56","10.100.102.210","QUIC","1274","Initial, SCID=560d8063d6f99076, PKN: 6198452, CRYPTO, ACK, PADDING"
"125","186.271856","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"126","186.272007","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
