"No.","Time","Source","Destination","Protocol","Length","Info"
"349","76.389980","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"350","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"351","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"352","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"353","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"354","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"355","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"356","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"357","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"358","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"359","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"360","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"361","76.390252","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"362","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"363","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"364","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"365","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"366","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"367","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"368","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"369","76.390563","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"370","76.390669","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"371","76.390669","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"372","76.390669","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"373","76.399261","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"374","76.399261","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"375","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"376","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"377","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"378","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"379","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"380","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"381","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"382","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"383","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"384","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"385","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"386","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"387","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"388","76.399572","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"389","76.400410","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"390","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"391","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"392","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"393","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"394","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"395","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"396","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"397","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"398","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"399","76.400808","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"400","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"401","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"402","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"403","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"404","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"405","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"406","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"407","76.400993","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"408","76.402809","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"409","76.402809","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"410","76.402809","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"411","76.402809","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"412","76.403583","157.240.195.56","10.100.102.210","TLSv1.3","1332","[TCP Previous segment not captured] , Continuation Data"
