"No.","Time","Source","Destination","Protocol","Length","Info"
"70","11.522100","157.240.195.56","10.100.102.210","TLSv1.2","76","[TCP Previous segment not captured] , Ignored Unknown Record"
"71","11.732395","10.100.102.210","157.240.195.56","TLSv1.2","170","[TCP ACKed unseen segment] , Application Data"
"72","11.940845","157.240.195.56","10.100.102.210","TLSv1.2","116","Application Data"
"73","13.462798","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"74","14.925631","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"75","16.384110","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"76","17.630347","10.100.102.210","35.186.224.25","UDP","119","56678  >  443 Len=77"
"77","17.652851","35.186.224.25","10.100.102.210","UDP","69","443  >  56678 Len=27"
"78","17.679517","10.100.102.210","35.186.224.25","UDP","74","56678  >  443 Len=32"
"79","17.693079","35.186.224.25","10.100.102.210","UDP","64","443  >  56678 Len=22"
"80","17.693330","10.100.102.210","35.186.224.25","UDP","75","56678  >  443 Len=33"
"81","17.770115","35.186.224.25","10.100.102.210","UDP","131","443  >  56678 Len=89"
"82","17.771002","10.100.102.210","35.186.224.25","UDP","79","56678  >  443 Len=37"
"83","17.821788","35.186.224.25","10.100.102.210","UDP","66","443  >  56678 Len=24"
"84","18.116703","10.100.102.210","157.240.195.56","TLSv1.2","1423","Application Data"
"85","18.228383","10.100.102.210","157.240.195.56","TLSv1.3","571","Client Hello"
"86","18.330916","157.240.195.56","10.100.102.210","TLSv1.2","117","Application Data"
"87","18.330916","157.240.195.56","10.100.102.210","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"88","18.333894","10.100.102.210","157.240.195.56","TLSv1.3","118","Change Cipher Spec, Application Data"
"89","18.334179","10.100.102.210","157.240.195.56","TLSv1.3","152","Application Data"
"90","18.334992","10.100.102.210","157.240.195.56","TLSv1.3","539","Application Data"
"91","18.335294","10.100.102.210","157.240.195.56","TLSv1.3","877","Application Data"
"92","18.335391","10.100.102.210","157.240.195.56","TLSv1.3","177","Application Data"
"93","18.335464","10.100.102.210","157.240.195.56","TLSv1.3","877","Application Data"
"94","18.395574","157.240.195.56","10.100.102.210","TLSv1.3","225","Application Data"
"95","18.395574","157.240.195.56","10.100.102.210","TLSv1.3","128","Application Data"
"96","18.395574","157.240.195.56","10.100.102.210","TLSv1.3","85","Application Data"
"97","18.395574","157.240.195.56","10.100.102.210","TLSv1.3","102","Application Data"
"98","18.396087","10.100.102.210","157.240.195.56","TLSv1.3","85","Application Data"
"99","18.436713","157.240.195.56","10.100.102.210","TLSv1.3","541","Application Data"
"100","18.636839","157.240.195.56","10.100.102.210","TLSv1.3","258","Application Data"
"101","20.256824","10.100.102.210","157.240.195.56","TCP","1446","63388  >  443 [ACK] Seq=2043 Ack=1773 Win=1032 Len=1392 [TCP segment of a reassembled PDU]"
"102","20.256824","10.100.102.210","157.240.195.56","TLSv1.2","538","Application Data"
"103","20.433879","157.240.195.56","10.100.102.210","TLSv1.2","141","Application Data"
"104","20.736574","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"105","20.739955","10.100.102.210","157.240.195.56","TLSv1.2","136","Application Data"
"106","23.398746","157.240.195.56","10.100.102.210","TLSv1.2","134","Application Data"
"107","23.406793","10.100.102.210","157.240.195.56","TLSv1.2","132","Application Data"
"108","27.801438","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"109","29.043948","10.100.102.210","157.240.195.56","TCP","1446","63388  >  443 [ACK] Seq=4149 Ack=2035 Win=1031 Len=1392 [TCP segment of a reassembled PDU]"
"110","29.043948","10.100.102.210","157.240.195.56","TCP","1446","63388  >  443 [ACK] Seq=5541 Ack=2035 Win=1031 Len=1392 [TCP segment of a reassembled PDU]"
"111","29.043948","10.100.102.210","157.240.195.56","TLSv1.2","761","Application Data"
"112","29.236741","157.240.195.56","10.100.102.210","TLSv1.2","165","Application Data"
"113","29.494033","157.240.195.56","10.100.102.210","TLSv1.2","152","Application Data"
"114","29.498993","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"115","29.596075","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"116","29.601827","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"117","30.105871","157.240.195.56","10.100.102.210","TLSv1.2","173","Application Data"
"118","30.113537","10.100.102.210","157.240.195.56","TLSv1.2","132","Application Data"
"119","30.126557","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"120","30.132200","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"121","30.420778","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"122","30.434307","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"123","30.760321","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"124","30.910925","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"125","30.914680","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"126","32.000673","157.240.195.56","10.100.102.210","TLSv1.2","117","Application Data"
"127","33.713945","10.100.102.210","157.240.195.56","TLSv1.2","269","Application Data"
"128","33.899815","157.240.195.56","10.100.102.210","TLSv1.2","165","Application Data"
"129","33.994769","157.240.195.56","10.100.102.210","TLSv1.2","311","Application Data"
"130","34.060050","10.100.102.210","157.240.195.56","TLSv1.2","129","Application Data"
"131","34.202225","157.240.195.56","10.100.102.210","TLSv1.2","152","Application Data"
"132","34.202225","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"133","34.205143","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"134","34.209499","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"135","34.304608","157.240.195.56","10.100.102.210","TLSv1.2","117","Application Data"
"136","34.304608","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"137","34.304608","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"138","34.313621","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"139","34.324240","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"140","34.817426","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"141","34.821405","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"142","34.880755","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"143","38.912704","157.240.195.56","10.100.102.210","TLSv1.2","174","Application Data"
"144","38.953782","10.100.102.210","157.240.195.56","TLSv1.2","149","Application Data"
"145","39.286600","157.240.195.56","10.100.102.210","TLSv1.2","117","Application Data"
"146","40.448944","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"147","40.600794","157.240.195.56","10.100.102.210","TLSv1.2","191","Application Data"
"148","40.605351","10.100.102.210","157.240.195.56","TLSv1.2","149","Application Data"
"149","43.829226","157.240.195.56","10.100.102.210","TLSv1.2","312","Application Data"
"150","44.075178","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"151","44.119866","10.100.102.210","157.240.195.56","TLSv1.2","156","Application Data"
"152","44.153058","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"153","44.340244","157.240.195.56","10.100.102.210","TLSv1.2","143","Application Data"
"154","44.880644","10.100.102.210","35.186.224.25","TCP","55","63559  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"155","44.882742","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"156","44.898997","35.186.224.25","10.100.102.210","TCP","66","443  >  63559 [ACK] Seq=1 Ack=2 Win=273 Len=0 SLE=1 SRE=2"
"157","44.926435","10.100.102.210","35.186.224.25","TCP","55","63586  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"158","44.959767","35.186.224.25","10.100.102.210","TCP","66","443  >  63586 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"159","44.959767","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"160","44.969287","10.100.102.210","157.240.195.56","TLSv1.2","135","Application Data"
"161","44.974996","157.240.195.56","10.100.102.210","TLSv1.2","151","Application Data"
"162","44.978219","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"163","44.983454","157.240.195.56","10.100.102.210","TLSv1.2","151","Application Data"
"164","44.986827","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"165","45.472680","157.240.195.56","10.100.102.210","TLSv1.2","296","Application Data"
"166","45.781647","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"167","45.843930","10.100.102.210","157.240.195.56","TLSv1.2","156","Application Data"
"168","46.030647","157.240.195.56","10.100.102.210","TLSv1.2","143","Application Data"
"169","46.075848","10.100.102.210","35.186.224.25","TCP","55","[TCP Keep-Alive] 63540  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"170","46.083267","35.186.224.25","10.100.102.210","TCP","66","[TCP Keep-Alive ACK] 443  >  63540 [ACK] Seq=1 Ack=2 Win=286 Len=0 SLE=1 SRE=2"
"171","46.714691","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"172","50.794295","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"173","54.631298","157.240.195.56","10.100.102.210","TLSv1.2","312","Application Data"
"174","54.859969","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"175","54.899471","10.100.102.210","157.240.195.56","TLSv1.2","156","Application Data"
"176","55.091974","157.240.195.56","10.100.102.210","TLSv1.2","143","Application Data"
"177","58.752587","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"178","60.417057","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"179","61.750602","157.240.195.56","10.100.102.210","TLSv1.2","532","Application Data"
"180","61.869652","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"181","62.040529","10.100.102.210","157.240.195.56","TLSv1.2","145","Application Data"
"182","62.126856","10.100.102.210","157.240.195.56","TLSv1.2","157","Application Data"
"183","62.311577","157.240.195.56","10.100.102.210","TLSv1.2","144","Application Data"
"184","63.643184","157.240.195.56","10.100.102.210","TLSv1.2","296","Application Data"
"185","63.860066","10.100.102.210","157.240.195.56","TLSv1.2","145","Application Data"
"186","63.884465","10.100.102.210","157.240.195.56","TLSv1.2","157","Application Data"
"187","63.975584","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"188","64.041568","157.240.195.56","10.100.102.210","TLSv1.2","144","Application Data"
"189","64.780843","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
